word,corpus_freq,n_missing,missing_bigrams
रणउजिरेश्वरी,5,1,णउ
हठधर्मी,5,1,ठध
अष्ठधातु,4,1,ठध
हठधर्म,4,1,ठध
द्धण्,4,1,धण
गुड़गाँव,4,1,़ग
ऊषर,4,1,ऊष
ऊषा,3,1,ऊष
अपाङंगता,3,1,ङं
प्रदषणको,3,1,दष
कुॅवर,2,2,ुॅ ॅव
सङंख्या,2,1,ङं
रोज़गारीको,2,1,़ग
ज्ञण्द्धढ,2,2,ञण धढ
दषी,2,1,दष
समॉजमॉ,2,2,मॉ ॉज
अलट्रावॉयलेट,2,2,वॉ ॉय
प्राय़ः,2,2,य़ ़ः
रिऋर्ब,2,2,ऋर िऋ
य़ॊ,2,2,य़ ़ॊ
उद्घघाटन,87,1,घघ
ऐठन,78,1,ऐठ
ह्याङओभर,66,1,ङओ
लगआउट,44,1,गआ
टेर्डथाई,31,1,डथ
एऊटा,30,2,ऊट एऊ
देशघाती,26,1,शघ
टेर्डथाइ,25,1,डथ
एक्लैएक्लै,19,1,ैए
पुनःथप,18,1,ःथ
लेखफाँट,18,1,खफ
ट्रेडथाई,16,1,डथ
पूाजी,12,1,ूा
साउथइस्ट,11,1,थइ
ह्याङओभरबाट,11,1,ङओ
एऊटै,10,2,ऊट एऊ
उद्घघोष,10,1,घघ
ऐठपुर,10,1,ऐठ
वेष्टईण्डिज,9,1,टई
व्यवःथा,8,1,ःथ
यात्रृबहाक,7,1,ृब
साउथइष्ट,7,1,थइ
कटठा,7,1,टठ
ठउर,7,1,ठउ
पुनःआग्रह,7,1,ःआ
लेखफाँटमा,7,1,खफ
ठउँमा,7,1,ठउ
लेखफर्सा,6,1,खफ
कृबाट,6,1,ृब
देशघात,6,1,शघ
प्रकाशघर,5,1,शघ
टठिलो,5,1,टठ
प्रहरुी,5,1,ुी
ह्याङओभरमा,5,1,ङओ
ऐठाका,5,1,ऐठ
थइन्,5,1,थइ
चिढचिढापन,5,1,ढच
व्यवःथापन,5,1,ःथ
दूारा,4,1,ूा
चिढचिढाहट,4,1,ढच
पढ्दैएक्सचेन्ज,4,1,ैए
बिजलुी,4,1,ुी
लगआउन,4,1,गआ
पुनःआह्वान,4,1,ःआ
टठ,4,1,टठ
पाठउँदै,3,1,ठउ
वर्गआधार,3,1,गआ
जेटईले,3,1,टई
आथिॅक,3,2,िॅ ॅक
बृद्धृबृद्धा,3,1,ृब
जरुरुी,3,1,ुी
पुनःआगमन,3,1,ःआ
पूाजीगत,2,1,ूा
पिछटई,2,1,टई
धामिॅक,2,2,िॅ ॅक
रहॅदै,2,2,हॅ ॅद
औडाहा,97,1,औड
दर्पणछाया,35,1,णछ
दर्पणछायाँ,35,1,णछ
ह्याङआउट,22,1,ङआ
तपाईलाईउल्लेखित,16,1,ईउ
विशेषखालको,15,1,षख
गणेशथान,14,1,शथ
ढुङ्गैढुङ्गा,13,1,ैढ
पुनःएकीकरण,12,1,ःए
छफलमा,12,1,छफ
यज्ञयज्ञादि,12,1,ञय
ऑफ़,11,1,ऑफ
ऑफ,11,1,ऑफ
घुषखोरी,11,1,षख
रिङआउट,11,1,ङआ
ऑफै,10,1,ऑफ
ऐमाले,10,1,ऐम
औडाह,10,1,औड
पुनःएक,9,1,ःए
दइ,9,1,दइ
वर्षखेलाडी,9,1,षख
शथप,8,1,शथ
प्लाईउड,8,1,ईउ
पुनःएकपटक,8,1,ःए
औडव,8,1,औड
गणेशथानमा,7,1,शथ
लाग्दइन,7,1,दइ
दर्पणछाँया,7,1,णछ
यज्ञयागादि,7,1,ञय
झथ्र्यो,6,1,झथ
झजर,6,1,झज
संास्कृतिक,6,1,ंा
झजपुरबाट,6,1,झज
बृद्धआश्रममा,6,1,धआ
माझथर,5,1,झथ
बोझजस्तो,5,1,झज
ढुंगैढुंगा,5,1,ैढ
बुझथे,4,1,झथ
खाअअ,4,1,अअ
कंाग्रेस,4,1,ंा
न्यूओर्क,4,1,ूओ
अअन्तर्गत,4,1,अअ
ऐम्बुलेन्स,4,1,ऐम
विदशेी,4,1,ेी
ढुङ्गैढुङ्गाले,4,1,ैढ
गर्नूृ,4,1,ूृ
यज्ञयागादिमा,4,1,ञय
वृद्धआश्रममा,4,1,धआ
लेटाङआसपासको,4,1,ङआ
वृद्धआश्रम,4,1,धआ
हिसंा,4,1,ंा
इटूओ,4,1,ूओ
रहेी,3,1,ेी
प्लाईउडका,3,1,ईउ
दइन्द्र,3,1,दइ
सम्पूृर्ण,3,1,ूृ
डूओ,3,1,ूओ
बर्वरतापूृक,3,1,ूृ
अअवसरलाई,3,1,अअ
कहेी,3,1,ेी
ऐम,3,1,ऐम
लॆखा,2,2,लॆ ॆख
आउऩुहुन्छ,2,2,उऩ ऩु
अठसठृीऔँ,2,2,ठृ ृी
एफथ्री,90,1,फथ
उठछ,50,1,ठछ
यज्ञोपवीत,37,1,ञो
घई,29,1,घई
सफथ,29,1,फथ
ठंडा,28,1,ठं
नारायणथान,27,1,णथ
ऊट,19,1,ऊट
आेलीले,19,1,आे
घईले,18,1,घई
आेली,17,1,आे
जठराग्नि,17,1,जठ
गुइठा,16,1,इठ
माझखर्क,16,1,झख
बर्न्टओक,15,1,टओ
माझखर्कमा,14,1,झख
माझखण्ड,14,1,झख
यज्ञोपवित,14,1,ञो
दक्षिणढोका,13,1,णढ
छठअघि,13,1,ठअ
छौुं,12,1,ौु
प्रवेशआज्ञा,12,1,शआ
राजनीतिज्ञभन्दा,11,1,ञभ
नारायणथानमा,9,1,णथ
नारायणथानको,9,1,णथ
अर्धउपनिवेश,9,1,धउ
नारायणढ,8,1,णढ
आेलीको,8,1,आे
रूञ्चे,8,1,ूञ
ऐभरेष्ट,8,1,ऐभ
नगरूञ्जेल,7,1,ूञ
जेठअघि,7,1,ठअ
छौु,7,1,ौु
ठंड,7,1,ठं
यज्ञभूमि,7,1,ञभ
छठअन्तर्गत,6,1,ठअ
उऩको,6,2,उऩ ऩक
द्धछ,6,1,धछ
उ्दघाटन,6,1,उ्
ठंगले,6,1,ठं
ऐभाँती,6,1,ऐभ
दक्षिणढोकासम्म,5,1,णढ
द्दढ,5,1,दढ
शहीदढोका,5,1,दढ
बताइृएको,5,1,ृए
झाटझुट,5,1,टझ
जठाभाबी,5,1,जठ
विज्ञभन्दा,4,1,ञभ
पूञ्जिका,4,1,ूञ
स्थानीयवासीलाईे,4,1,ईे
श्रंृखला,4,1,ंृ
शंृखला,4,1,ंृ
कृएटिभ,4,1,ृए
उठछ्,4,1,ठछ
ऐशआराम,4,1,शआ
उऩले,4,2,उऩ ऩल
हिमशंृखला,4,1,ंृ
थियौुं,4,1,ौु
ऐशआरामको,4,1,शआ
उठछन,4,1,ठछ
बाँधछाँद,4,1,धछ
बर्न्टओकमा,4,1,टओ
कृएसनका,4,1,ृए
गुँइठेभीर,4,1,इठ
ऐभान,3,1,ऐभ
दिईेएको,3,1,ईे
केन्द्रंीय,3,1,ंी
प्रतिबद्धछौं,3,1,धछ
उलङ्गघन,3,1,गघ
सुद्दढिकरणतर्फनिर्देशित,3,1,दढ
जठर,3,1,जठ
पोर्टओ,3,1,टओ
जुद्धउच्च,3,1,धउ
संस्थालाईे,3,1,ईे
व्हिटिंगघमले,2,1,गघ
उ्रत्पादन,2,1,उ्
उऩीहरू,2,2,उऩ ऩी
रिऋीराम,2,2,ऋी िऋ
अर्धउपनिवेशको,2,1,धउ
मसानघाटझैँ,2,1,टझ
उऩदपा,2,2,उऩ ऩद
एउ्टा,2,1,उ्
संीवधान,2,1,ंी
गघि,2,1,गघ
तुलसंी,2,1,ंी
बनाउऩे,2,2,उऩ ऩे
मुढभेड,2,1,ढभ
सुदृढभन्दा,2,1,ढभ
झाँटझुँट,2,1,टझ
ऑक्सिटॉसिन,2,2,ऑक टॉ
दई,127,1,दई
छउन्जेल,96,1,छउ
शुभफल,84,1,भफ
दःुख,31,1,ःु
भाउअनुसार,30,1,उअ
गर्योि,19,1,ोि
आङङिमा,16,1,ङङ
अफशोच,15,1,फश
सहजढंगले,15,1,जढ
शुभफलदायी,12,1,भफ
दईवटा,12,1,दई
अः,11,1,अः
ठाडठाडै,10,1,डठ
परिक्षफल,10,1,षफ
ऊविरुद्ध,9,1,ऊव
पर्योि,9,1,ोि
ऋिण,8,1,ऋि
तीर्थधाम,8,1,थध
प्रत्यक्षफल,8,1,षफ
अफशोर,8,1,फश
दःुखी,8,1,ःु
स्वःचालित,8,1,ःच
निगजढ,7,1,जढ
मुक्तिनाथधाम,7,1,थध
निर्वाधढंगबाट,5,1,धढ
द्धढ,5,1,धढ
भएकॊ,5,1,कॊ
घढ,5,1,घढ
अफशोस,5,1,फश
घढ्ने,5,1,घढ
सुबः,5,1,बः
कोदई,5,1,दई
तलबः,4,1,बः
हिँड़ौं,4,1,़ौ
सप्ताहघाट,4,1,हघ
दःुखद,4,1,ःु
बजारभाउअनुसार,4,1,उअ
अर्बः,4,1,बः
ढ्याङढ्याङ,4,1,ङढ
सिमाहघाट,4,1,हघ
शुभफलमा,4,1,भफ
ऋिषिदेव,4,1,ऋि
सहजढंगमा,3,1,जढ
बृछि,3,1,ृछ
सुरक्षफौजले,3,1,षफ
कॉहा,3,1,ॉह
करोड़ौं,3,1,़ौ
पक्राउअघि,3,1,उअ
हघि,3,1,हघ
कॅडेल,3,2,कॅ ॅड
बतइएको,3,1,तइ
घढीमा,3,1,घढ
ढङढङे,3,1,ङढ
आतइबार,3,1,तइ
डिस्पोजएवल,3,1,जए
नेपालकॊ,3,1,कॊ
आरटिजएस,3,1,जए
रहेकॊ,3,1,कॊ
ऋितुराज,3,1,ऋि
ठाडठाडो,3,1,डठ
डिजएस्टर,3,1,जए
करोड़ौंको,3,1,़ौ
गॅस,3,2,गॅ ॅस
मैलॆ,3,1,लॆ
अःसहाय,3,1,अः
चुःचुः,3,1,ःच
ङ्याङङ्याङ,3,1,ङङ
उदयपुरलॆ,2,1,लॆ
हेर्योि,2,1,ोि
खष्कष्यल,2,1,खष
अःपताल,2,1,अः
पुनःचक्रीय,2,1,ःच
काडठमाडौँ,2,1,डठ
एऔटा,2,2,एऔ औट
निऽाको,2,2,ऽा िऽ
देऊवा,2,1,ऊव
तिर्थधर्म,2,1,थध
तेस्तइ,2,1,तइ
ढुङढुङ,2,1,ङढ
अलऎनको,2,2,ऎन लऎ
हजुऊऊऊर,2,2,ऊऊ ुऊ
वर्षछि,63,1,षछ
ङइन्द्रप्रसाद,54,1,ङइ
श्रेष्ठः,29,1,ठः
ठँलो,29,1,ठँ
ऎन,25,1,ऎन
ऊखु,24,1,ऊख
अलऐनमा,21,1,लऐ
मझधारमा,21,1,झध
पाठः,20,1,ठः
अफठ्यारो,19,1,फठ
हई,19,1,हई
माघशुक्ल,19,1,घश
उु,16,1,उु
मझधार,14,1,झध
वायुऊर्जा,14,1,ुऊ
अलऐन,14,1,लऐ
सहईन्चार्ज,13,1,हई
जेठः,13,1,ठः
ह्यांगओभर,12,1,गओ
सहईञ्चार्ज,12,1,हई
भएो,12,1,एो
चोरऔंला,9,1,रऔ
ुएु,9,1,एु
ङइन्द्र,8,1,ङइ
निष्कर्षछ,8,1,षछ
प्रतिऋणपत्र,8,1,िऋ
ह्याङ्गओभर,7,1,गओ
सिंहझैं,7,1,हझ
बताउुभयो,7,1,उु
अलऐनको,7,1,लऐ
ऎना,7,1,ऎन
बडउड,7,1,डउ
रिजऊड,6,2,ऊड जऊ
सहझै,6,1,हझ
ठँला,6,1,ठँ
एुटा,6,1,एु
दीर्घशंका,6,1,घश
खाणँ,5,1,णँ
अनऔपचारिक,5,1,नऔ
उुद्घाटन,5,1,उु
एु,5,1,एु
अफठ्रोमा,5,1,फठ
टंुगो,4,1,ंु
चोरऔँलो,4,1,रऔ
नऔ,4,1,नऔ
खाणँका,4,1,णँ
बर्षछि,4,1,षछ
बारिहएको,4,1,हए
पितृउध्दार,4,1,ृउ
ऊखुबारीमा,4,1,ऊख
रहएका,4,1,हए
ऋब,4,1,ऋब
डउमा,4,1,डउ
जनाएो,4,1,एो
पहाडझैं,4,1,डझ
आफ्ऩो,4,2,ऩो ्ऩ
पाढइले,4,1,ढइ
अझधेरै,4,1,झध
आठखुट्टे,4,1,ठख
ठङ,4,1,ठङ
गोठखोलाका,3,1,ठख
ढंुगाना,3,1,ंु
ऊखुको,3,1,ऊख
बायुऊर्जा,3,1,ुऊ
ह्ृदयघातका,3,1,्ृ
सिंहझैँ,3,1,हझ
माझघरे,3,1,झघ
पितृउद्धार,3,1,ृउ
अफठयारो,3,1,फठ
ऋय,3,1,ऋय
उत्ृकष्ट,3,1,्ृ
बन्डउली,3,1,डउ
साँञ्चै,3,1,ँञ
ऋब्ब्ष्,3,1,ऋब
ह्ृदय,3,1,्ृ
रहएको,3,1,हए
हाङ्गओभर,3,1,गओ
डुङइ,3,1,ङइ
चाडझैं,3,1,डझ
ढंुगानाको,3,1,ंु
आइीएनजिओ,3,1,इी
आइीसटी,3,1,इी
दृढइच्छा,3,1,ढइ
कोऽहम्,2,2,ऽह ोऽ
सोऽहम्,2,2,ऽह ोऽ
तराज़ूमा,2,1,़ू
खाणँको,2,1,णँ
नऔंल्याई,2,1,नऔ
आफलेू,2,1,ेू
केदारनाथउपाध्याय,2,1,थउ
इीतहास,2,1,इी
माझघट्टमा,2,1,झघ
झुन्डझुन्डलाई,2,1,डझ
अर्थउपार्जन,2,1,थउ
पाठखोलाको,2,1,ठख
भन्नेू,2,1,ेू
ठँहिटीको,2,1,ठँ
देखिएो,2,1,एो
गर्नुपर्नेू,2,1,ेू
झघट्ट,2,1,झघ
कृउले,2,1,ृउ
अघाउँञ्जेल,2,1,ँञ
खुऽा,2,2,ऽा ुऽ
ठॉऊमा,2,2,ठॉ ॉऊ
एकोऽहम्,2,2,ऽह ोऽ
आञ्चलिक,57,1,आञ
येस्तई,38,1,तई
धेरैओटा,32,1,ैओ
विथआउट,30,1,थआ
आञ्चलिकता,30,1,आञ
डेढघण्टा,28,1,ढघ
राष्ट्रऋण,26,1,रऋ
छिःछिः,22,1,ःछ
पूर्वऊर्जामन्त्री,19,1,वऊ
समझशक्ति,18,1,झश
षड़यन्त्र,17,1,़य
हौइन,17,1,ौइ
अओइले,17,1,अओ
ज्ञछ,16,1,ञछ
सञचालन,15,1,ञच
मातृऔंसी,13,1,ृऔ
टेक्नोलॉजी,12,1,ॉज
घइते,12,1,घइ
आञ्चलिकताको,12,1,आञ
पादटिप्पणी,11,1,दट
ऑस्ट्रेलिया,10,1,ऑस
छिःछि,10,1,ःछ
छछ,9,1,छछ
चितई,8,1,तई
शुक्रऋषि,8,1,रऋ
सरक्षंण,8,1,षं
पहाड़वासीको,8,1,़व
थिऐ,8,1,िऐ
ऋशव,7,1,ऋश
आषढ,7,1,षढ
षढयन्त्र,7,1,षढ
औटा,7,1,औट
भछन्,6,1,भछ
गरिऐको,6,1,िऐ
सञचालनमा,6,1,ञच
सञचार,6,1,ञच
ऋर्तु,6,1,ऋर
आइडियोलॉजी,5,1,ॉज
हौइनौँ,5,1,ौइ
द्दट,5,1,दट
चारैओटा,5,1,ैओ
तीनैओटा,5,1,ैओ
छौ्र,5,1,ौ्
छऊञ्जेल,5,2,ऊञ छऊ
षढ्यन्त्र,5,1,षढ
सहयॊग,4,2,यॊ ॊग
ऋर्षिराम,4,1,ऋर
छछल्किएको,4,1,छछ
गर्छछन्,4,1,छछ
दृघकालिन,4,1,ृघ
ऑंसुले,4,1,ऑं
समझशक्तिमा,4,1,झश
समझशक्तिले,4,1,झश
ऑसु,4,1,ऑस
दिऐ,4,1,िऐ
तपाई्रले,4,1,ई्
अओ,4,1,अओ
क्षठ,4,1,षठ
जुड़वा,4,1,़व
पुनःध्यानाकर्षण,4,1,ःध
सोध्ऩ,4,1,्ऩ
डेढघन्टा,3,1,ढघ
डॉम्फुसाँझ,3,1,ॉम
भछ,3,1,भछ
तथआ,3,1,थआ
अओइको,3,1,अओ
बढ़वा,3,1,़व
अक्षंराङ्कन,3,1,षं
घइले,3,1,घइ
औछ्यानमा,3,1,औछ
औटो,3,1,औट
पूर्वऊर्जामन्त्रीसमेत,3,1,वऊ
बढढ्नेछ,3,1,ढढ
मौऽकि,3,2,ऽक ौऽ
उदटन,3,1,दट
पूर्वऊर्जासचिव,3,1,वऊ
कॉमेडी,3,1,ॉम
हलिऊड,3,1,ऊड
इङघङ,3,1,घङ
कॉमन,3,1,ॉम
ऋशीकेश,3,1,ऋश
हेनतई,3,1,तई
ऑंखा,3,1,ऑं
श्रेषठता,3,1,षठ
सरक्षंणमा,3,1,षं
पितृघर,3,1,ृघ
दुःध,3,1,ःध
ऐबाक,3,1,ऐब
देखउन,3,1,खउ
औछ्यान,3,1,औछ
पुनःछलफल,3,1,ःछ
मातृऔँसी,3,1,ृऔ
ऑस्टिन,3,1,ऑस
कागतढुङ्गी,3,1,तढ
भछैन,2,1,भछ
औछ्याउने,2,1,औछ
चढ़यो,2,1,़य
हौइनन्,2,1,ौइ
बढढाउने,2,1,ढढ
हौङलाई,2,1,ौङ
इझि,2,1,इझ
मातृऔंशी,2,1,ृऔ
घइतेको,2,1,घइ
देखउँछ,2,1,खउ
देखउनु,2,1,खउ
परिष्कृतढङ्गले,2,1,तढ
ज्ञछण्,2,1,ञछ
ई्न्टरटेनमेन्ट,2,1,ई्
ऑंमा,2,1,ऑं
ऊड्ने,2,1,ऊड
धङघङी,2,1,घङ
चिरऋणी,2,1,रऋ
काठमाडौ्,2,1,ौ्
षड़यन्त्रहरू,2,1,़य
काठमाडौ्र,2,1,ौ्
गुइझाउ,2,1,इझ
डेढघन्टासम्म,2,1,ढघ
शीर्षठ,2,1,षठ
ई्श्वर,2,1,ई्
ऋशिकेश,2,1,ऋश
अनाथआश्रममा,2,1,थआ
गुइझाओ,2,1,इझ
ऐबेनेजर,2,1,ऐब
वॉशर,2,2,वॉ ॉश
सशक्तढंगले,2,1,तढ
ऐबरले,2,1,ऐब
बिभिन्ऩ,2,1,्ऩ
चचिॅत,2,2,िॅ ॅत
सन्दभॅमा,2,2,भॅ ॅम
अर्धऔपनिवेशिक,70,1,धऔ
ॠषि,49,1,ॠष
ऐेन,39,1,ऐे
सयओटा,27,1,यओ
ज्ञण्,25,1,ञण
ऋखार,25,1,ऋख
सौर्यऊर्जा,23,1,यऊ
सऊदी,19,1,सऊ
कई,18,1,कई
शठ,15,1,शठ
उत्कृठ,14,1,ृठ
मकई,12,1,कई
औा,12,1,औा
ज्ञट,12,1,ञट
रकमऋण,12,1,मऋ
उई,10,1,उई
पेटूोलियम,10,1,ूो
ऋंखला,8,1,ऋं
ऐेतिहासिक,8,1,ऐे
थण्डर,8,1,थण
ऋखारमा,8,1,ऋख
पार्टीै,8,1,ीै
शठता,8,1,शठ
ओधिम्बोले,7,1,ओध
पितृऋण,7,1,ृऋ
वर्षाऋतु,7,1,ाऋ
हुो,6,1,ुो
बताउूछन्,6,1,उू
मातृऋण,6,1,ृऋ
विज्ञटोलीले,5,1,ञट
आईओणिओस,5,1,ओण
प्रमुखआयुक्त,5,1,खआ
अध्यक्षँतामा,5,1,षँ
गृष्मऋतु,5,1,मऋ
यॊ,5,1,यॊ
वर्षाऋतुमा,5,1,ाऋ
दॆखि,4,2,दॆ ॆख
सिजृना,4,1,जृ
आईओण,4,1,ओण
थियॊ,4,1,यॊ
प्रमुखआतिथ्यमा,4,1,खआ
ऋंगार,4,1,ऋं
औाषधि,4,1,औा
जोङउन,4,1,ङउ
भथौल,4,1,भथ
पँूजी,4,1,ँू
ऐहिक,4,1,ऐह
ऋंखलाबद्ध,4,1,ऋं
बहसःः,4,1,ःः
मसऊद,4,1,सऊ
छएक,4,1,छए
गुईझाउमा,4,1,ईझ
गुईझाउको,4,1,ईझ
औाल्याए,4,1,औा
श्रीशठकाेप,4,1,शठ
औव,4,1,औव
ऋजु,4,1,ऋज
ऋजीष,4,1,ऋज
ग्रीष्मऋतु,4,1,मऋ
विऽोह,3,2,ऽो िऽ
दाबीःः,3,1,ःः
उईगेमा,3,1,उई
लाभघ्राही,3,1,भघ
मेटूोमा,3,1,ूो
ढज्ञ,3,1,ढज
प्रमुखआधार,3,1,खआ
तथाऋण,3,1,ाऋ
ॠषिलाल,3,1,ॠष
विज्ञटोली,3,1,ञट
कुम्भकर्णझैं,3,1,णझ
छुंू,3,1,ंू
पंूजी,3,1,ंू
ओण्डरर्स,3,1,ओण
पृठ,3,1,ृठ
आजृन,3,1,जृ
मूढजस्तो,3,1,ढज
ऊठाउने,3,1,ऊठ
पछएको,3,1,छए
उनीहरुो,3,1,ुो
ॠषिका,3,1,ॠष
ओधियाम्बोले,3,1,ओध
औवा,3,1,औव
ऊठेको,3,1,ऊठ
संस्करणझैं,3,1,णझ
युथथिंक,3,1,थथ
लमाएखोला,3,1,एख
शुभघडी,3,1,भघ
लेखथ्यो,3,1,खथ
जयओम,3,1,यओ
ऋखीराज,3,1,ऋख
बुद्घधर्म,3,1,घध
सर्वोत्कृठ,3,1,ृठ
क्रमशःः,2,1,ःः
बुद्घधर्ममा,2,1,घध
जृुन,2,1,जृ
उनान्सयओटालाई,2,1,यओ
परिक्षणआयोजना,2,1,णआ
जोङउनलाई,2,1,ङउ
अर्धऔपनिवेशिकताको,2,1,धऔ
संूूख्यामा,2,1,ंू
काकीैले,2,1,ीै
काठमाडौंआँ,2,1,ंआ
झैु,2,1,ैु
हास्बेल्लाउईले,2,1,उई
भथ्र्यो,2,1,भथ
विद्याथीैहरुलाई,2,1,ीै
दॅशै,2,2,दॅ ॅश
छोरीलाईझै,2,1,ईझ
भनँू,2,1,ँू
सौर्यऊर्जाको,2,1,यऊ
कलिङउडले,2,1,ङउ
गर्नुहुोस्,2,1,ुो
एऽया,2,2,एऽ ऽय
घछनामा,2,1,घछ
जानॆछन्,2,2,नॆ ॆछ
प्रार्थणा,2,1,थण
ऋभु,2,1,ऋभ
पोटॅशियम,2,2,टॅ ॅश
सबखथानी,2,1,खथ
सबखथनी,2,1,खथ
ऐेनको,2,1,ऐे
युऐई,2,2,ऐई ुऐ
आत्मसमर्थण,2,1,थण
दिदैंआएको,2,1,ंआ
वाघधुरा,2,1,घध
एकईश्वरवाद,2,1,कई
ऐहा,2,1,ऐह
सर्वसाधारणझैँ,2,1,णझ
लिम्बकूो,2,1,ूो
घोषँणा,2,1,षँ
पुनःनिर्माणआगामी,2,1,णआ
ग्रहणआइतवार,2,1,णआ
अऩुरोध,2,2,अऩ ऩु
दिएखि,2,1,एख
एवंआगामी,2,1,ंआ
नैु,2,1,ैु
हॊइन,2,2,हॊ ॊइ
मातृऋणको,2,1,ृऋ
आयॅघाट,2,2,यॅ ॅघ
बारुथथान,2,1,थथ
रैुछ,2,1,ैु
एख्लासलाई,2,1,एख
लिइऩ्छ,2,2,इऩ ऩ्
औवल,2,1,औव
वर्षँ,2,1,षँ
सौर्यऊर्जाका,2,1,यऊ
तेह्रथथुम,2,1,थथ
चौधऔं,2,1,धऔ
ऊठाए,2,1,ऊठ
ओधिअम्बो,2,1,ओध
सक्छएक,2,1,छए
पँूजीगत,2,1,ँू
ऋभलतचभ,2,1,ऋभ
घछ,2,1,घछ
ठाउूहरुमा,2,1,उू
बताउूछिन्,2,1,उू
शुभघाट,2,1,भघ
ऐहिकता,2,1,ऐह
माओः,55,1,ओः
ॐकार,39,1,ॐक
धकधई,31,1,धई
नौओटा,31,1,ौओ
आऔं,31,1,आऔ
भएठाउँ,22,1,एठ
तठस्थ,19,1,तठ
ज्ञठ,15,1,ञठ
भऐको,14,1,भऐ
ऋक्,14,1,ऋक
आऔ,13,1,आऔ
धकधईमा,13,1,धई
बर्दघआट,13,1,घआ
म़ा,11,1,म़
बौएलाल,11,1,ौए
ऑखा,11,1,ऑख
भढी,11,1,भढ
हौऔ,10,1,ौऔ
यज्ञडोल,10,1,ञड
हेऱ्यो,9,1,ेऱ
ज्ञड,9,1,ञड
आमऔषधि,9,1,मऔ
भठ्ठी,9,1,भठ
शइमन,8,1,शइ
हेऱ्यौं,8,1,ेऱ
आऔँ,8,1,आऔ
ढाँटढुँट,8,1,टढ
गर्योो,7,1,ोो
काठफोर,7,1,ठफ
साऊथ,7,1,ऊथ
ऋक्सेन,7,1,ऋक
फाऊण्डेशनको,7,1,ऊण
पर्योो,7,1,ोो
ॐको,7,1,ॐक
औगादोगुमा,6,1,औग
ॠग्वेदीय,6,1,ॠग
भठी,6,1,भठ
ॠतुमा,6,1,ॠत
ऊधम,6,1,ऊध
हर्ठफोर्डशायरस्थित,5,1,ठफ
होू,5,1,ोू
ॠतुको,5,1,ॠत
हॊ,5,1,हॊ
पठएको,5,1,ठए
भएठाउँमा,5,1,एठ
महासंघआवद्ध,5,1,घआ
ऑखादान,5,1,ऑख
उठथ्यो,5,1,ठथ
छइन्जेल,5,1,छइ
पकडौआ,5,1,ौआ
व्हाट्सऐपमा,4,1,सऐ
ऋऋत्ख्,4,1,ऋऋ
ॠतु,4,1,ॠत
जओस्,4,1,जओ
छइन,4,1,छइ
कुऑन,4,2,ऑन ुऑ
प्रकाशइत,4,1,शइ
नौओटै,4,1,ौओ
हौऔं,4,1,ौऔ
नामऔपचारिक,4,1,मऔ
भऽगोल,4,2,भऽ ऽग
देओघार,4,1,ओघ
आठथर,4,1,ठथ
दाशढुंगामा,4,1,शढ
थई,4,1,थई
फाऊण्डेशन,4,1,ऊण
चौआयामिक,4,1,ौआ
छुट्टयिौँ,4,1,िौ
ओैषधी,4,1,ओै
याओअनडे,4,1,ओअ
बिटक्व़ाईन,4,1,व़
माईन्यृूट,4,1,ृू
क्षूद्र,4,1,षू
सिग्यिौन,3,1,िौ
एठन,3,1,एठ
ऋसब,3,1,ऋस
ऑखाले,3,1,ऑख
तठ्याकै,3,1,तठ
बाघझैं,3,1,घझ
वषृ,3,1,षृ
टढ,3,1,टढ
छग्रहवा,3,1,छग
कोषू,3,1,षू
ऊध्र्वगामी,3,1,ऊध
मांगॆको,3,2,गॆ ॆक
एीकृत,3,1,एी
रहनॆ,3,1,नॆ
पीडि़त,3,1,ि़
गरॆका,3,2,रॆ ॆक
छऩ्,3,2,छऩ ऩ्
उनलाईै,3,1,ईै
माआोवादी,3,1,आो
तपाईांके,3,1,ईा
ओैं,3,1,ओै
दाशढुंगा,3,1,शढ
छगू,3,1,छग
अऩि,3,2,अऩ ऩि
बिटक्व़ाईनको,3,1,व़
रूखझैं,3,1,खझ
बाघझोडा,3,1,घझ
अमॆरिकन,3,2,मॆ ॆर
नौऔं,3,1,ौऔ
वर्षथप,3,1,षथ
ॠग्वेद,3,1,ॠग
हेऱ्यौँ,3,1,ेऱ
द्दण्ज्ञड,3,1,ञड
छुट्टयिौं,3,1,िौ
आम़ा,3,1,म़
उत्पीडि़त,3,1,ि़
ओै,3,1,ओै
टढा,3,1,टढ
सेन्जझेन,3,1,जझ
माफृत,3,1,फृ
ह्वाट्सऐप,3,1,सऐ
दौढधुप,3,1,ढध
ओघट्ने,3,1,ओघ
तठस्त,3,1,तठ
शइमान,3,1,शइ
वषृको,3,1,षृ
आवाजझैँ,3,1,जझ
काठफोरुवा,3,1,ठफ
बमोजिम़,3,1,म़
औम,2,1,औम
तपाईालाई,2,1,ईा
पाठएको,2,1,ठए
श्रृफको,2,1,ृफ
भढि,2,1,भढ
गर्दैछुःट्रम्प,2,1,ःट
आकॅषक,2,2,कॅ ॅष
छअर्ब,2,1,छअ
औमा,2,1,औम
पाचँओटा,2,1,ँओ
आईपीओः,2,1,ओः
छऊ,2,1,छऊ
एीब्,2,1,एी
निमाणृ,2,1,णृ
यृूएनएचसीआरकी,2,1,ृू
चलाऊथे,2,1,ऊथ
धेरैलाईै,2,1,ईै
सरकारलाईै,2,1,ईै
महन्ठथ,2,1,ठथ
